id,username,email,prefix,first_name,last_name,specialization,description,status,profile_picture,license_number,phone,created_at,updated_at
f7b165cf-fc07-4ed5-8e36-0edfe8703815,ashley.ford297,sjackson@example.org,Prof.,Ashley,Ford,Cardiology,Experienced Pulmonology specialist with over 18 years of practice.,suspended,https://example.com/profiles/f7b165cf-fc07-4ed5-8e36-0edfe8703815.jpg,MD138449,(315) 522-2235,2024-12-30T23:14:34.710756,2025-08-31T15:52:34.710768
b4935c4b-c3f9-4164-b2f8-425f1a7d4452,patrick.black20,christensenkendra@example.org,Dr.,Patrick,Black,Pulmonology,Experienced Radiology specialist with over 12 years of practice.,inactive,https://example.com/profiles/b4935c4b-c3f9-4164-b2f8-425f1a7d4452.jpg,MD990036,(878) 344-3109,2025-05-04T05:44:34.711397,2025-09-18T08:41:34.711407
0fc75aad-27df-4100-93e1-dcc082b66f34,timothy.cannon238,carloswerner@example.net,PA,Timothy,Cannon,General Practice,Experienced Geriatrics specialist with over 10 years of practice.,active,https://example.com/profiles/0fc75aad-27df-4100-93e1-dcc082b66f34.jpg,MD490529,(707) 343-1451,2025-06-13T12:14:34.711824,2025-08-31T08:07:34.711831
87dde43d-9e6d-42db-bb41-e3b923422ff3,sherri.romero78,znolan@example.net,Dr.,Sherri,Romero,Hematology,Experienced Oncology specialist with over 22 years of practice.,pending_approval,https://example.com/profiles/87dde43d-9e6d-42db-bb41-e3b923422ff3.jpg,MD319231,(501) 789-2655,2025-03-06T02:20:34.712144,2025-09-13T22:50:34.712150
8541db18-079f-4f2d-827f-18d40b74dcc7,joshua.ali530,michelle18@example.org,DO,Joshua,Ali,Gastroenterology,Experienced Hematology specialist with over 10 years of practice.,inactive,https://example.com/profiles/8541db18-079f-4f2d-827f-18d40b74dcc7.jpg,MD868540,(975) 460-6497,2024-07-24T12:43:34.712413,2025-09-09T05:48:34.712419
9e2ec154-553a-47dd-90a8-4e83d1f8b126,gary.webster312,aaronthompson@example.org,Prof.,Gary,Webster,Pulmonology,Experienced Orthopedics specialist with over 14 years of practice.,suspended,https://example.com/profiles/9e2ec154-553a-47dd-90a8-4e83d1f8b126.jpg,MD548996,(203) 377-5320,2024-01-30T17:34:34.712780,2025-09-06T03:44:34.712787
43b421f3-0720-4fb6-be40-c96f59c63d42,christina.herrera179,derekdougherty@example.org,NP,Christina,Herrera,Dermatology,Experienced Psychiatry specialist with over 12 years of practice.,suspended,https://example.com/profiles/43b421f3-0720-4fb6-be40-c96f59c63d42.jpg,MD886803,(803) 851-8758,2023-12-19T02:44:34.713147,2025-08-28T15:26:34.713153
416be0aa-1fac-4f30-8f6a-f9dd9750384f,johnathan.ramirez653,parcher@example.org,NP,Johnathan,Ramirez,Psychiatry,Experienced Geriatrics specialist with over 24 years of practice.,suspended,https://example.com/profiles/416be0aa-1fac-4f30-8f6a-f9dd9750384f.jpg,MD970713,(505) 564-7631,2025-06-16T23:17:34.713444,2025-09-13T21:36:34.713450
70f16c9e-5f41-452b-bf7e-31274ed69110,jessica.middleton380,jonesterri@example.com,MD,Jessica,Middleton,Endocrinology,Experienced Oncology specialist with over 20 years of practice.,suspended,https://example.com/profiles/70f16c9e-5f41-452b-bf7e-31274ed69110.jpg,MD265366,(702) 452-9370,2025-07-18T14:03:34.713823,2025-09-05T20:42:34.713830
35fac0af-2cce-43fd-95fc-5db6d71d1a94,barbara.page108,nunezjill@example.net,MD,Barbara,Page,Urology,Experienced Psychiatry specialist with over 12 years of practice.,inactive,https://example.com/profiles/35fac0af-2cce-43fd-95fc-5db6d71d1a94.jpg,MD523960,(951) 914-7076,2025-04-09T00:05:34.714215,2025-09-05T01:02:34.714226
9cf2bd0a-f15e-4cac-9b14-fa7158988114,alexander.johnson784,tiffanyhill@example.net,DO,Alexander,Johnson,Radiology,Experienced Pediatrics specialist with over 12 years of practice.,pending_approval,https://example.com/profiles/9cf2bd0a-f15e-4cac-9b14-fa7158988114.jpg,MD318500,(931) 794-7680,2025-05-11T13:05:34.714629,2025-08-25T15:26:34.714637
21bfd04f-6f47-4c7f-b947-cfdf1e071bab,heather.robinson910,davidgonzales@example.com,MD,Heather,Robinson,Neurology,Experienced General Practice specialist with over 14 years of practice.,inactive,https://example.com/profiles/21bfd04f-6f47-4c7f-b947-cfdf1e071bab.jpg,MD841420,(715) 705-3469,2024-11-19T06:40:34.714983,2025-09-04T07:51:34.714989
871bd474-bd6b-4eac-8931-6db657bfd40e,melissa.martinez657,sanchezjennifer@example.org,DO,Melissa,Martinez,Radiology,Experienced Hematology specialist with over 25 years of practice.,inactive,https://example.com/profiles/871bd474-bd6b-4eac-8931-6db657bfd40e.jpg,MD439719,(561) 417-5695,2024-07-25T16:40:34.715336,2025-09-02T10:34:34.715343
133a3c47-2e59-4110-b590-cbd4e6c8858c,rachel.malone253,butlerolivia@example.com,NP,Rachel,Malone,Cardiology,Experienced Radiology specialist with over 8 years of practice.,suspended,https://example.com/profiles/133a3c47-2e59-4110-b590-cbd4e6c8858c.jpg,MD866224,(913) 350-5850,2024-02-17T18:24:34.715702,2025-08-30T02:22:34.715708
935fc881-619d-4ce2-9771-744d0bc22cd9,jon.gonzalez624,cooperlaura@example.org,PA,Jon,Gonzalez,Endocrinology,Experienced Radiology specialist with over 8 years of practice.,pending_approval,https://example.com/profiles/935fc881-619d-4ce2-9771-744d0bc22cd9.jpg,MD335513,(858) 285-2663,2024-08-11T17:20:34.716055,2025-09-12T11:32:34.716061
d3e595ed-2e4f-4e54-8c06-2a9f5743b326,sarah.gonzales91,lkelly@example.org,Dr.,Sarah,Gonzales,Neurology,Experienced Cardiology specialist with over 20 years of practice.,inactive,https://example.com/profiles/d3e595ed-2e4f-4e54-8c06-2a9f5743b326.jpg,MD597008,(339) 588-1965,2024-05-24T11:51:34.716345,2025-08-26T09:55:34.716351
2bf85c00-3caf-47f3-b897-c31a9f29b39e,cheryl.walker281,suttondenise@example.net,PA,Cheryl,Walker,Radiology,Experienced Urology specialist with over 22 years of practice.,active,https://example.com/profiles/2bf85c00-3caf-47f3-b897-c31a9f29b39e.jpg,MD682936,(352) 595-5507,2024-02-10T03:54:34.716704,2025-09-15T06:43:34.716710
653f4928-8dde-4148-b93e-ed5a1f8848a8,christopher.fleming408,harrisonnicholas@example.net,Prof.,Christopher,Fleming,Orthopedics,Experienced Rheumatology specialist with over 17 years of practice.,inactive,https://example.com/profiles/653f4928-8dde-4148-b93e-ed5a1f8848a8.jpg,MD439020,(567) 347-3694,2024-08-17T11:43:34.717061,2025-09-07T21:48:34.717067
f3897c03-a143-42c9-919d-45eeb3592565,blake.duffy940,davidglover@example.com,Prof.,Blake,Duffy,Gastroenterology,Experienced Rheumatology specialist with over 9 years of practice.,pending_approval,https://example.com/profiles/f3897c03-a143-42c9-919d-45eeb3592565.jpg,MD111899,(478) 604-5296,2024-04-19T12:56:34.717415,2025-08-29T06:50:34.717421
5a174ac7-19d5-4281-8505-406b6bcf12f8,john.sanford658,carl66@example.org,DO,John,Sanford,Pulmonology,Experienced Orthopedics specialist with over 23 years of practice.,suspended,https://example.com/profiles/5a174ac7-19d5-4281-8505-406b6bcf12f8.jpg,MD192726,(734) 662-1419,2024-07-24T12:05:34.717692,2025-09-02T02:48:34.717699
5716c7bb-036d-4a53-949d-1177be7be34e,edward.miller337,sheilabarnes@example.org,Prof.,Edward,Miller,Gastroenterology,Experienced Dermatology specialist with over 8 years of practice.,suspended,https://example.com/profiles/5716c7bb-036d-4a53-949d-1177be7be34e.jpg,MD212654,(410) 558-1451,2025-05-25T21:12:34.718055,2025-08-28T02:25:34.718061
26db310f-c138-482c-a4d7-a63889153519,walter.richardson617,tanya66@example.com,MD,Walter,Richardson,Dermatology,Experienced Endocrinology specialist with over 11 years of practice.,inactive,https://example.com/profiles/26db310f-c138-482c-a4d7-a63889153519.jpg,MD342875,(562) 478-4529,2024-05-19T12:35:34.718322,2025-08-23T18:19:34.718328
3d336998-db48-42fe-b302-d45d3be18224,stephanie.wiley820,reyesjackie@example.org,Prof.,Stephanie,Wiley,Oncology,Experienced Gastroenterology specialist with over 14 years of practice.,active,https://example.com/profiles/3d336998-db48-42fe-b302-d45d3be18224.jpg,MD965625,(934) 758-5346,2025-06-20T10:58:34.718705,2025-08-20T07:06:34.718712
393915b4-0142-4522-b601-bb25e41517c7,christopher.hunt445,dcox@example.com,DO,Christopher,Hunt,Hematology,Experienced Dermatology specialist with over 7 years of practice.,pending_approval,https://example.com/profiles/393915b4-0142-4522-b601-bb25e41517c7.jpg,MD670848,(308) 306-7561,2025-09-09T00:24:34.719017,2025-08-29T11:24:34.719023
89410af1-5331-4c89-bbe5-5a1bd79e0f7d,bianca.maxwell679,kevin07@example.com,NP,Bianca,Maxwell,Endocrinology,Experienced Cardiology specialist with over 6 years of practice.,pending_approval,https://example.com/profiles/89410af1-5331-4c89-bbe5-5a1bd79e0f7d.jpg,MD788030,(406) 239-3466,2024-03-25T16:08:34.719283,2025-08-21T20:07:34.719289
1a6ee802-a7cf-4220-b8a5-d90aa53937a0,peter.gonzalez428,cassandra33@example.net,Dr.,Peter,Gonzalez,Pulmonology,Experienced Dermatology specialist with over 7 years of practice.,active,https://example.com/profiles/1a6ee802-a7cf-4220-b8a5-d90aa53937a0.jpg,MD358419,(585) 347-2998,2025-02-26T01:29:34.719574,2025-08-21T10:02:34.719585
4f4e48ee-652b-4fc4-aa5a-a2b68ba9e73a,robert.smith338,mjackson@example.org,MD,Robert,Smith,Oncology,Experienced General Practice specialist with over 6 years of practice.,inactive,https://example.com/profiles/4f4e48ee-652b-4fc4-aa5a-a2b68ba9e73a.jpg,MD434759,(442) 276-7970,2025-07-18T11:31:34.720050,2025-08-31T12:55:34.720062
2e5f1598-4a64-429f-af33-0a985b1d6d3a,meghan.cruz498,hmacias@example.org,PA,Meghan,Cruz,Gastroenterology,Experienced Hematology specialist with over 22 years of practice.,suspended,https://example.com/profiles/2e5f1598-4a64-429f-af33-0a985b1d6d3a.jpg,MD161615,(301) 531-8873,2025-06-09T11:05:34.720537,2025-09-16T18:54:34.720551
573d9e84-ee3c-4a12-a257-56151d3585e6,kenneth.thomas209,kristiwade@example.net,Prof.,Kenneth,Thomas,Gastroenterology,Experienced Orthopedics specialist with over 5 years of practice.,inactive,https://example.com/profiles/573d9e84-ee3c-4a12-a257-56151d3585e6.jpg,MD418195,(810) 885-1070,2025-04-06T17:26:34.720982,2025-08-24T13:56:34.720991
15d00cc1-98dd-4654-a99b-47419e8a747e,matthew.pena297,joseph21@example.net,Dr.,Matthew,Pena,Gastroenterology,Experienced General Practice specialist with over 22 years of practice.,suspended,https://example.com/profiles/15d00cc1-98dd-4654-a99b-47419e8a747e.jpg,MD992426,(603) 524-3239,2024-05-10T11:57:34.721274,2025-08-25T14:48:34.721281
6d2f6d10-07e1-4e97-b5fb-b2bbefaf0dcd,xavier.palmer994,fergusontrevor@example.net,DO,Xavier,Palmer,Urology,Experienced Psychiatry specialist with over 20 years of practice.,suspended,https://example.com/profiles/6d2f6d10-07e1-4e97-b5fb-b2bbefaf0dcd.jpg,MD408872,(765) 392-2175,2025-01-17T16:11:34.721660,2025-08-20T07:59:34.721667
fe4843fe-4e18-4c59-87f7-c87c1b6bd055,stephanie.williamson941,phernandez@example.net,NP,Stephanie,Williamson,Urology,Experienced Orthopedics specialist with over 24 years of practice.,active,https://example.com/profiles/fe4843fe-4e18-4c59-87f7-c87c1b6bd055.jpg,MD789565,(708) 325-5690,2025-03-30T02:20:34.721970,2025-09-15T06:39:34.721976
892743f2-c2fb-445b-9558-cb6c708b73c6,larry.hoover291,barrettashley@example.com,Dr.,Larry,Hoover,Endocrinology,Experienced Neurology specialist with over 7 years of practice.,pending_approval,https://example.com/profiles/892743f2-c2fb-445b-9558-cb6c708b73c6.jpg,MD328374,(626) 252-7733,2024-01-16T12:34:34.722329,2025-08-19T12:50:34.722335
b649c39e-472f-4e46-9b27-c3b1dec48932,joseph.harris398,linda24@example.com,Dr.,Joseph,Harris,Radiology,Experienced Oncology specialist with over 16 years of practice.,pending_approval,https://example.com/profiles/b649c39e-472f-4e46-9b27-c3b1dec48932.jpg,MD275343,(618) 379-9140,2024-11-04T08:01:34.722651,2025-09-14T13:38:34.722662
2b5cbb2d-2443-44e5-a814-edb3398bd600,terri.lopez290,elizabeth58@example.org,DO,Terri,Lopez,Endocrinology,Experienced Rheumatology specialist with over 23 years of practice.,pending_approval,https://example.com/profiles/2b5cbb2d-2443-44e5-a814-edb3398bd600.jpg,MD645884,(906) 567-7978,2024-08-15T14:43:34.723027,2025-09-02T15:23:34.723037
927033ce-3c4c-4231-9187-39031dacf16f,jeffrey.green227,stacyjohnson@example.net,Dr.,Jeffrey,Green,Cardiology,Experienced Psychiatry specialist with over 8 years of practice.,pending_approval,https://example.com/profiles/927033ce-3c4c-4231-9187-39031dacf16f.jpg,MD553704,(802) 556-7584,2025-02-17T22:38:34.723531,2025-08-25T17:43:34.723545
e9ee3eaa-6083-4f5c-b396-e823aa7a6676,john.miller908,melinda87@example.com,Prof.,John,Miller,Geriatrics,Experienced Rheumatology specialist with over 25 years of practice.,active,https://example.com/profiles/e9ee3eaa-6083-4f5c-b396-e823aa7a6676.jpg,MD577820,(402) 599-7622,2025-05-05T13:38:34.723846,2025-09-06T23:00:34.723853
12dcec37-e4e9-4981-a05a-e12787129042,anthony.baird266,mitchell76@example.net,DO,Anthony,Baird,Cardiology,Experienced Urology specialist with over 5 years of practice.,active,https://example.com/profiles/12dcec37-e4e9-4981-a05a-e12787129042.jpg,MD187035,(586) 869-5496,2025-05-29T03:01:34.724139,2025-08-23T21:29:34.724147
528f0b8c-20cc-47a7-8528-a0cc2b78d721,anne.adams664,laura69@example.net,DO,Anne,Adams,Geriatrics,Experienced Oncology specialist with over 6 years of practice.,suspended,https://example.com/profiles/528f0b8c-20cc-47a7-8528-a0cc2b78d721.jpg,MD915822,(315) 205-1056,2023-12-05T20:35:34.724425,2025-09-01T14:58:34.724432
b84eff67-0837-4fde-aee2-3635bac494cb,patricia.salinas689,jennifer53@example.com,MD,Patricia,Salinas,Gastroenterology,Experienced Urology specialist with over 9 years of practice.,inactive,https://example.com/profiles/b84eff67-0837-4fde-aee2-3635bac494cb.jpg,MD108082,(815) 617-3760,2025-03-06T17:15:34.724770,2025-09-16T06:39:34.724781
e804c07a-090c-4453-a07f-26e1a6cb403c,tammy.kim892,rritter@example.com,NP,Tammy,Kim,Geriatrics,Experienced General Practice specialist with over 12 years of practice.,inactive,https://example.com/profiles/e804c07a-090c-4453-a07f-26e1a6cb403c.jpg,MD679038,(380) 385-3867,2024-02-28T05:43:34.725632,2025-09-18T16:44:34.725677
39494237-d076-438a-8356-1590840bc549,paul.chandler483,erivers@example.com,MD,Paul,Chandler,General Practice,Experienced Hematology specialist with over 16 years of practice.,pending_approval,https://example.com/profiles/39494237-d076-438a-8356-1590840bc549.jpg,MD133501,(201) 479-2511,2025-08-10T10:13:34.726373,2025-09-02T01:33:34.726392
95de4e06-4376-4c8d-a446-b2dba85a7814,jason.ramirez620,thompsonjustin@example.org,Dr.,Jason,Ramirez,Neurology,Experienced Psychiatry specialist with over 8 years of practice.,active,https://example.com/profiles/95de4e06-4376-4c8d-a446-b2dba85a7814.jpg,MD358237,(650) 883-1486,2024-11-02T03:41:34.727082,2025-08-19T19:02:34.727097
6bd1bd28-76b7-4bdb-a01b-f8fed69ea409,amanda.odonnell150,sara94@example.net,Prof.,Amanda,Odonnell,General Practice,Experienced Cardiology specialist with over 18 years of practice.,pending_approval,https://example.com/profiles/6bd1bd28-76b7-4bdb-a01b-f8fed69ea409.jpg,MD223375,(669) 701-1670,2024-01-14T19:28:34.727473,2025-09-12T09:53:34.727482
b6a16c45-d732-470c-afb9-b895a6ce2c5a,christopher.peterson949,ucarlson@example.com,PA,Christopher,Peterson,Cardiology,Experienced Endocrinology specialist with over 5 years of practice.,pending_approval,https://example.com/profiles/b6a16c45-d732-470c-afb9-b895a6ce2c5a.jpg,MD207297,(575) 929-6397,2025-01-14T00:57:34.727870,2025-08-30T23:06:34.727880
e52baead-e50c-496d-852c-ddb0f7c2bc6b,barbara.sanders778,pwhite@example.org,Prof.,Barbara,Sanders,Gastroenterology,Experienced Oncology specialist with over 14 years of practice.,suspended,https://example.com/profiles/e52baead-e50c-496d-852c-ddb0f7c2bc6b.jpg,MD682662,(734) 665-5715,2023-12-16T05:26:34.728232,2025-09-18T04:56:34.728240
980f9feb-2485-47ef-9c75-4555aa3183aa,shawn.pollard657,johnfrank@example.net,PA,Shawn,Pollard,Neurology,Experienced Cardiology specialist with over 17 years of practice.,inactive,https://example.com/profiles/980f9feb-2485-47ef-9c75-4555aa3183aa.jpg,MD892732,(646) 709-1408,2023-10-31T02:32:34.728640,2025-09-01T15:12:34.728648
ff394a41-9c57-422a-b36a-fa4cd8d5556a,vanessa.baker119,smartinez@example.org,NP,Vanessa,Baker,General Practice,Experienced Gastroenterology specialist with over 12 years of practice.,suspended,https://example.com/profiles/ff394a41-9c57-422a-b36a-fa4cd8d5556a.jpg,MD362753,(510) 937-7594,2024-01-17T16:01:34.728982,2025-09-08T23:26:34.728994
d27483c5-9981-437f-bd40-3f573b7c5f74,whitney.mckay331,johnmerritt@example.com,MD,Whitney,Mckay,Urology,Experienced Psychiatry specialist with over 23 years of practice.,pending_approval,https://example.com/profiles/d27483c5-9981-437f-bd40-3f573b7c5f74.jpg,MD831772,(213) 757-5558,2025-03-11T15:04:34.729412,2025-08-27T09:08:34.729421
5cca9859-3dcb-4d9d-929d-5af97593fef1,lisa.turner430,olivia30@example.com,PA,Lisa,Turner,Radiology,Experienced Dermatology specialist with over 14 years of practice.,pending_approval,https://example.com/profiles/5cca9859-3dcb-4d9d-929d-5af97593fef1.jpg,MD260669,(901) 822-9900,2024-07-07T09:37:34.729731,2025-09-16T10:58:34.729740
a52828c2-036c-4ea7-af56-2ca165b25ecd,ashley.robinson398,rperez@example.org,MD,Ashley,Robinson,Radiology,Experienced Rheumatology specialist with over 12 years of practice.,inactive,https://example.com/profiles/a52828c2-036c-4ea7-af56-2ca165b25ecd.jpg,MD574320,(562) 580-8275,2025-08-06T07:36:34.730110,2025-09-09T05:33:34.730120
c30ed4ea-2aa7-4d53-aa41-c6fca2b67555,anthony.brewer425,simpsonalyssa@example.com,Dr.,Anthony,Brewer,Neurology,Experienced Radiology specialist with over 22 years of practice.,active,https://example.com/profiles/c30ed4ea-2aa7-4d53-aa41-c6fca2b67555.jpg,MD413357,(956) 765-1959,2025-04-28T22:47:34.730554,2025-08-30T09:29:34.730563
c1950737-9bf9-48b8-bbb8-72136efc3b1b,samantha.thomas288,millerjessica@example.com,Prof.,Samantha,Thomas,Urology,Experienced Pulmonology specialist with over 24 years of practice.,inactive,https://example.com/profiles/c1950737-9bf9-48b8-bbb8-72136efc3b1b.jpg,MD771243,(720) 502-5413,2024-11-14T19:12:34.730958,2025-08-23T18:06:34.730966
258aa7cc-f04a-43b3-b38f-6cb3003dfb8b,christopher.cantu932,lucas35@example.net,Prof.,Christopher,Cantu,Pediatrics,Experienced Cardiology specialist with over 22 years of practice.,pending_approval,https://example.com/profiles/258aa7cc-f04a-43b3-b38f-6cb3003dfb8b.jpg,MD808116,(424) 446-3307,2025-01-06T04:48:34.731253,2025-09-09T18:01:34.731260
10b6cd72-f085-493c-875d-db126808eadc,joshua.kemp786,gsmall@example.com,Dr.,Joshua,Kemp,Oncology,Experienced Endocrinology specialist with over 19 years of practice.,inactive,https://example.com/profiles/10b6cd72-f085-493c-875d-db126808eadc.jpg,MD422766,(319) 937-6423,2024-10-04T02:06:34.731578,2025-09-06T14:55:34.731585
b13eeb5d-579b-4d5e-99cd-9150dc8d9f08,jordan.richard336,fwilliams@example.org,PA,Jordan,Richard,Pediatrics,Experienced Pediatrics specialist with over 19 years of practice.,pending_approval,https://example.com/profiles/b13eeb5d-579b-4d5e-99cd-9150dc8d9f08.jpg,MD986932,(954) 229-7294,2025-03-24T18:25:34.731916,2025-08-24T22:01:34.731924
72942fe8-61a7-4fea-8512-db28bc6c5367,dawn.martin167,holtrobert@example.com,MD,Dawn,Martin,Geriatrics,Experienced Psychiatry specialist with over 19 years of practice.,active,https://example.com/profiles/72942fe8-61a7-4fea-8512-db28bc6c5367.jpg,MD350779,(475) 426-3365,2023-12-23T23:18:34.732311,2025-08-31T00:39:34.732319
3599a1f8-d919-4ea3-b731-8e12105346bb,nancy.hoover186,rebeccaford@example.org,Prof.,Nancy,Hoover,Endocrinology,Experienced Pediatrics specialist with over 25 years of practice.,inactive,https://example.com/profiles/3599a1f8-d919-4ea3-b731-8e12105346bb.jpg,MD650880,(715) 431-1755,2024-12-07T09:03:34.732751,2025-08-24T05:23:34.732761
24e0e1cb-c948-4085-bcb1-caea648fcad2,barbara.ross446,richard37@example.org,DO,Barbara,Ross,Geriatrics,Experienced Endocrinology specialist with over 19 years of practice.,inactive,https://example.com/profiles/24e0e1cb-c948-4085-bcb1-caea648fcad2.jpg,MD204027,(832) 502-3571,2024-01-14T05:08:34.733174,2025-09-15T09:42:34.733187
9cfae83f-1fa9-4fa3-a6a1-6c4f541d4121,daniel.bartlett90,buckleycrystal@example.com,DO,Daniel,Bartlett,Rheumatology,Experienced Geriatrics specialist with over 8 years of practice.,pending_approval,https://example.com/profiles/9cfae83f-1fa9-4fa3-a6a1-6c4f541d4121.jpg,MD817747,(512) 804-3885,2024-07-30T21:23:34.733991,2025-09-12T18:07:34.734031
fa244a20-52a3-45e2-9bc0-8f021da31023,lisa.cervantes855,johnsonsharon@example.com,Dr.,Lisa,Cervantes,Pulmonology,Experienced Neurology specialist with over 9 years of practice.,pending_approval,https://example.com/profiles/fa244a20-52a3-45e2-9bc0-8f021da31023.jpg,MD888030,(219) 420-2984,2025-01-25T15:51:34.735263,2025-09-03T08:42:34.735283
4fbd8b12-b465-416a-b7d0-fc2e145685c9,debra.barrett545,johnsonsamantha@example.com,MD,Debra,Barrett,Cardiology,Experienced Geriatrics specialist with over 9 years of practice.,active,https://example.com/profiles/4fbd8b12-b465-416a-b7d0-fc2e145685c9.jpg,MD538290,(310) 887-1798,2025-06-02T15:46:34.735743,2025-08-30T02:48:34.735751
20c732aa-aee5-4548-ab67-d95711031187,melissa.thompson383,cameronlopez@example.com,PA,Melissa,Thompson,Neurology,Experienced Urology specialist with over 24 years of practice.,suspended,https://example.com/profiles/20c732aa-aee5-4548-ab67-d95711031187.jpg,MD188869,(980) 263-1033,2025-07-21T14:00:34.736170,2025-09-13T11:24:34.736179
0daf6370-80d9-4dc5-a86b-2a44c7526d34,elaine.dougherty664,colemancassandra@example.org,MD,Elaine,Dougherty,Radiology,Experienced Gastroenterology specialist with over 17 years of practice.,inactive,https://example.com/profiles/0daf6370-80d9-4dc5-a86b-2a44c7526d34.jpg,MD293153,(636) 585-5600,2023-10-03T18:57:34.736633,2025-09-02T10:38:34.736644
